"Sitzplatz","Random","Matrikelnr","Name","Anwesend? (X)"
"1","7PT4/FFLV","3010101","Tim Taler",""
"2","7PU2/FFMT","3041002","Bim Kang",""
"3","7PVZ/FFNR","3060402","Bai Bao",""
"4","7PWX/FFOP","3082939","Lukas Lokomotivführer",""
"5","7PXV/FFPN","3109823","Toto MD Hazul",""
"6","7PYT/FFQL","3120434","Tom Morello",""
"7","7PZR/FFRJ","3183987","Jim Knopf",""
"8","7Q0L/FFSH","3190010","Justus BWL",""
"9","7Q1J/FFTF","3198301","Bub Thisisareallylongname",""
"10","7Q2H/FFUD","3201026","Jonas Titus",""
"11","7Q3F/FFVB","3720301","Bibi Blocksberg",""
"12","7Q4D/FFW9","3900201","Sabrina Die Hexe",""
